,id_orgao_julgador,sigla_tribunal,ramo_justica,nome_orgao,uf,id_municipio,ind1,ind2,ind3,taxa_entrada,taxa_saida,retorno,log_ind1,log_ind2,log_ind3,log_taxa_entrada,log_taxa_saida,log_retorno
11266,46894,TRT4,Justiça do Trabalho,4ª CANOAS,RS,4017,180,4416,129,0.04076086956521739,0.029211956521739132,0.7166666666666667,2.255272505103306,3.6450290647211423,2.110589710299249,-1.3897565596178365,-1.5344393544218935,-0.1446827948040571
11267,46895,TRT4,Justiça do Trabalho,5ª CANOAS,RS,4017,185,3531,136,0.052393089776267346,0.038516001132823566,0.7351351351351352,2.2671717284030137,3.5478977175630972,2.1335389083702174,-1.2807259891600833,-1.4143588091928796,-0.13363282003279628
11268,46896,TRT4,Justiça do Trabalho,VT CARAZINHO,RS,4027,90,1992,78,0.045180722891566265,0.0391566265060241,0.8666666666666667,1.9542425094393248,3.29928933408768,1.8920946026904804,-1.3450468246483551,-1.4071947313971995,-0.062147906748844454
11269,46897,TRT4,Justiça do Trabalho,1ª CAXIAS DO SUL,RS,4033,181,3738,137,0.04842161583734617,0.036650615302300696,0.7569060773480663,2.2576785748691846,3.572639297042813,2.1367205671564067,-1.3149607221736288,-1.4359187298864065,-0.12095800771277776
11270,46898,TRT4,Justiça do Trabalho,2ª CAXIAS DO SUL,RS,4033,162,3077,187,0.05264868378290543,0.06077348066298342,1.154320987654321,2.2095150145426308,3.4881274962474587,2.271841606536499,-1.2786124817048274,-1.2162858897109594,0.06232659199386803
11271,46899,TRT4,Justiça do Trabalho,3ª CAXIAS DO SUL,RS,4033,164,3469,114,0.04727587200922456,0.032862496396656095,0.6951219512195121,2.214843848047698,3.5402042998420598,2.0569048513364727,-1.325360451794362,-1.4832994485055873,-0.15793899671122533
11272,4690,TJSC,Justiça Estadual,VARA ÚNICA DA COMARCA DE CORONEL FREITAS,SC,4507,202,3107,199,0.06501448342452526,0.06404892178950757,0.9851485148514851,2.305351369446624,3.4923412532549745,2.298853076409707,-1.1869898838083508,-1.1934881768452679,-0.006498293036917124
11273,46900,TRT4,Justiça do Trabalho,4ª CAXIAS DO SUL,RS,4033,177,3044,174,0.058147174770039424,0.05716162943495401,0.9830508474576272,2.2479732663618064,3.4834446480985353,2.2405492482825995,-1.2354713817367287,-1.2428953998159356,-0.007424018079206888
11274,46901,TRT4,Justiça do Trabalho,5ª CAXIAS DO SUL,RS,4033,179,2955,176,0.06057529610829103,0.05956006768189509,0.9832402234636871,2.2528530309798933,3.4705574852172743,2.24551266781415,-1.217704454237381,-1.2250448174031243,-0.007340363165743365
11275,46902,TRT4,Justiça do Trabalho,6ª CAXIAS DO SUL,RS,4033,110,2078,89,0.05293551491819057,0.04282964388835419,0.8090909090909091,2.041392685158225,3.3176455432211585,1.9493900066449128,-1.2762528580629335,-1.3682555365762459,-0.09200267851331226
11276,46903,TRT4,Justiça do Trabalho,VT CRUZ ALTA,RS,4062,128,2703,89,0.04735479097299297,0.032926378098409176,0.6953125,2.1072099696478683,3.4318460456987254,1.9493900066449128,-1.324636076050857,-1.4824560390538126,-0.15781996300295556
11277,46904,TRT4,Justiça do Trabalho,VT ENCANTADO,RS,4079,61,747,57,0.08165997322623829,0.07630522088353414,0.9344262295081968,1.7853298350107671,2.873320601815399,1.7558748556724915,-1.0879907668046318,-1.1174457461429073,-0.02945497933827562
11278,46905,TRT4,Justiça do Trabalho,1ª ERECHIM,RS,4085,73,1344,100,0.05431547619047619,0.0744047619047619,1.36986301369863,1.863322860120456,3.1283992687178066,2.0,-1.2650764085973505,-1.1283992687178064,0.13667713987954408
11279,46906,TRT4,Justiça do Trabalho,2ª ERECHIM,RS,4085,79,1737,173,0.04548071387449626,0.09959700633275763,2.189873417721519,1.8976270912904414,3.2397998184470986,2.2380461031287955,-1.3421727271566573,-1.0017537153183032,0.340419011838354
11280,46907,TRT4,Justiça do Trabalho,3ª ERECHIM,RS,4085,72,1482,85,0.048582995951417005,0.05735492577597841,1.1805555555555556,1.8573324964312685,3.170848203643309,1.9294189257142929,-1.313515707212041,-1.2414292779290166,0.07208642928302428
11281,46908,TRT4,Justiça do Trabalho,VT ESTÂNCIA VELHA,RS,4093,144,4201,133,0.0342775529635801,0.03165912877886218,0.9236111111111112,2.1583624920952498,3.623352681537992,2.123851640967086,-1.4649901894427424,-1.4995010405709062,-0.034510851128163836
11282,46909,TRT4,Justiça do Trabalho,1ª ESTEIO,RS,4094,79,1730,63,0.04566473988439306,0.03641618497109827,0.7974683544303798,1.8976270912904414,3.2380461031287955,1.7993405494535817,-1.340419011838354,-1.4387055536752136,-0.0982865418368597
11283,46910,TRT4,Justiça do Trabalho,2ª ESTEIO,RS,4094,80,1609,68,0.049720323182100686,0.04226227470478558,0.85,1.9030899869919435,3.2065560440990297,1.8325089127062364,-1.303466057107086,-1.3740471313927933,-0.07058107428570727
11284,46911,TRT4,Justiça do Trabalho,1ª ESTRELA,RS,4095,97,952,53,0.10189075630252101,0.05567226890756303,0.5463917525773195,1.9867717342662448,2.9786369483844743,1.7242758696007892,-0.9918652141182295,-1.2543610787836852,-0.2624958646654558
11285,46912,TRT4,Justiça do Trabalho,2ª ESTRELA,RS,4095,107,950,59,0.11263157894736842,0.06210526315789474,0.5514018691588785,2.0293837776852097,2.9777236052888476,1.7708520116421442,-0.9483398276036381,-1.2068715936467036,-0.2585317660430655
11286,46913,TRT4,Justiça do Trabalho,VT FARROUPILHA,RS,4099,93,1999,134,0.04652326163081541,0.0670335167583792,1.4408602150537635,1.968482948553935,3.3008127941181167,2.1271047983648077,-1.3323298455641819,-1.1737079957533094,0.15862184981087252
11287,46914,TRT4,Justiça do Trabalho,VT FREDERICO WESTPHALEN,RS,4110,124,1838,91,0.06746463547334058,0.04951033732317737,0.7338709677419355,2.093421685162235,3.2643455070500926,1.9590413923210936,-1.1709238218878575,-1.3053041147289988,-0.13438029284114147
11288,46915,TRT4,Justiça do Trabalho,1ª GRAMADO,RS,4119,89,1984,97,0.04485887096774194,0.04889112903225806,1.0898876404494382,1.9493900066449128,3.2975416678181597,1.9867717342662448,-1.3481516611732471,-1.310769933551915,0.037381727621332066
